name,lat,lng
Ocala,29.178,-82.1511
Oceanside,33.2247,-117.3083
Rancho Cucamonga,34.1247,-117.5667
Garden Grove,33.7787,-117.9601
Cary,35.7819,-78.8195
Pembroke Pines,26.0128,-80.3382
Bayamon,18.3794,-66.1635
Palmdale,34.5944,-118.1057
Manchester,42.9848,-71.4447
Lafayette,40.3991,-86.8593
Santa Cruz,36.9789,-122.0346
Marysville,48.0809,-122.1561
Muskegon,43.2281,-86.2562
Springfield,39.7709,-89.654
Hayward,37.6328,-122.0766
New Bedford,41.6697,-70.9428
Alexandria,38.8185,-77.0861
Paterson,40.9147,-74.1624
Corona,33.8616,-117.5649
Merced,37.3057,-120.4779
Warner Robins,32.5961,-83.6527
Port Arthur,29.8554,-93.9264
Macon,32.8065,-83.6974
Kansas City,39.1235,-94.7443
Lakewood,39.6977,-105.1172
Sunnyvale,37.3836,-122.0255
Fredericksburg,38.2992,-77.4872
Leesburg,28.7672,-81.8962
Champaign,40.1142,-88.2737
Hollywood,26.0293,-80.1679
Pasadena,29.6575,-95.1498
Pomona,34.0585,-117.7626
Escondido,33.1348,-117.0723
Joliet,41.5188,-88.1499
Lake Charles,30.201,-93.2111
Mesquite,32.7602,-96.5865
Mauldin,34.7821,-82.3032
Panama City,30.1995,-85.6003
Bellevue,47.5951,-122.1535
Naperville,41.748,-88.1659
Harlingen,26.1916,-97.6977
Tuscaloosa,33.2348,-87.5268
Elkhart,41.6916,-85.9627
Torrance,33.8346,-118.3416
Binghamton,42.1014,-75.9093
Houma,29.58,-90.7059
Topeka,39.0346,-95.6955
Roseville,38.7703,-121.3196
Fairfield,38.2583,-122.0335
Tyler,32.3184,-95.3062
Fullerton,33.8841,-117.9279
Pueblo,38.2701,-104.6114
Athens,33.9508,-83.3689
Santa Maria,34.9333,-120.4431
Surprise,33.6815,-112.4515
Charleston,38.3484,-81.6322
Las Cruces,32.3265,-106.7893
Metairie,29.9977,-90.178
Thornton,39.9197,-104.9438
Olathe,38.8833,-94.82
Carolina,18.4054,-65.9792
Gainesville,34.2902,-83.8294
West Valley City,40.6886,-112.0123
Orange,33.8038,-117.8218
Warren,42.4934,-83.027
Pasadena,34.1597,-118.139
Beaumont,30.0849,-94.1451
Burlington,36.076,-79.4685
Hampton,37.0551,-76.363
Columbia,38.9472,-92.3268
Yuma,32.5995,-114.5491
Elizabeth,40.6658,-74.1913
Racine,42.7274,-87.8135
Greeley,40.4152,-104.7706
Kent,47.3887,-122.2128
Stamford,41.1039,-73.5585
Odessa,31.8801,-102.3448
Bloomington,40.4757,-88.9703
Miramar,25.9773,-80.3351
Grand Junction,39.0877,-108.5673
Sterling Heights,42.5809,-83.0305
Coral Springs,26.2702,-80.2591
Johnson City,36.3406,-82.3806
Carrollton,32.989,-96.8999
Midland,32.0243,-102.1147
Yakima,46.5923,-120.5496
Bellingham,48.7548,-122.469
Yuba City,39.1357,-121.6383
South Lyon,42.4614,-83.6526
Santa Clara,37.3646,-121.968
St. George,37.0758,-113.5752
Fort Smith,35.3495,-94.3695
Simi Valley,34.2663,-118.749
Dover,39.161,-75.5202
Norman,35.2335,-97.3471
Abilene,32.4543,-99.7384
Billings,45.7891,-108.5526
Ponce,18.0127,-66.6212
Lehigh Acres,26.612,-81.6388
St. Cloud,45.534,-94.1718
Arecibo,18.4491,-66.7387
Kenosha,42.5865,-87.8773
Greenville,35.5943,-77.376
Arvada,39.832,-105.151
Pearland,29.5581,-95.3218
Independence,39.0871,-94.3501
Texas City,29.4154,-94.9682
Redding,40.5698,-122.365
Lynchburg,37.4003,-79.1909
Boulder,40.0248,-105.2524
Iowa City,41.6559,-91.5303
Rochester,44.0154,-92.478
Berkeley,37.8722,-122.276
Waldorf,38.6085,-76.9194
The Villages,28.9034,-81.9887
Duluth,46.7756,-92.1393
East Los Angeles,34.0326,-118.1691
Saginaw,43.4199,-83.9501
Clovis,36.8278,-119.683
Leominster,42.5209,-71.7717
Round Rock,30.527,-97.6642
Monroe,32.5185,-92.0774
Cambridge,42.3759,-71.1185
Clearwater,27.979,-82.7623
Seaside,36.6224,-121.8199
